query_id,label,img_folder
Q00003,0,/tf/facebook/data/query_images/
Q00004,1,/tf/facebook/data/query_images/
Q00008,2,/tf/facebook/data/query_images/
Q00026,3,/tf/facebook/data/query_images/
Q00028,4,/tf/facebook/data/query_images/
Q00029,5,/tf/facebook/data/query_images/
Q00031,6,/tf/facebook/data/query_images/
Q00035,7,/tf/facebook/data/query_images/
Q00037,8,/tf/facebook/data/query_images/
Q00046,9,/tf/facebook/data/query_images/
Q00049,10,/tf/facebook/data/query_images/
Q00051,11,/tf/facebook/data/query_images/
Q00058,12,/tf/facebook/data/query_images/
Q00061,13,/tf/facebook/data/query_images/
Q00063,14,/tf/facebook/data/query_images/
Q00065,15,/tf/facebook/data/query_images/
Q00071,16,/tf/facebook/data/query_images/
Q00073,17,/tf/facebook/data/query_images/
Q00083,18,/tf/facebook/data/query_images/
Q00084,19,/tf/facebook/data/query_images/
Q00089,20,/tf/facebook/data/query_images/
Q00096,21,/tf/facebook/data/query_images/
Q00109,22,/tf/facebook/data/query_images/
Q00113,23,/tf/facebook/data/query_images/
Q00117,24,/tf/facebook/data/query_images/
Q00123,25,/tf/facebook/data/query_images/
Q00128,26,/tf/facebook/data/query_images/
Q00132,27,/tf/facebook/data/query_images/
Q00149,28,/tf/facebook/data/query_images/
Q00150,29,/tf/facebook/data/query_images/
Q00152,30,/tf/facebook/data/query_images/
Q00155,31,/tf/facebook/data/query_images/
Q00161,32,/tf/facebook/data/query_images/
Q00163,33,/tf/facebook/data/query_images/
Q00171,34,/tf/facebook/data/query_images/
Q00185,35,/tf/facebook/data/query_images/
Q00187,36,/tf/facebook/data/query_images/
Q00198,37,/tf/facebook/data/query_images/
Q00205,38,/tf/facebook/data/query_images/
Q00206,39,/tf/facebook/data/query_images/
Q00208,40,/tf/facebook/data/query_images/
Q00210,41,/tf/facebook/data/query_images/
Q00211,42,/tf/facebook/data/query_images/
Q00214,43,/tf/facebook/data/query_images/
Q00217,44,/tf/facebook/data/query_images/
Q00220,45,/tf/facebook/data/query_images/
Q00221,46,/tf/facebook/data/query_images/
Q00237,47,/tf/facebook/data/query_images/
Q00255,48,/tf/facebook/data/query_images/
Q00259,49,/tf/facebook/data/query_images/
Q00260,50,/tf/facebook/data/query_images/
Q00264,51,/tf/facebook/data/query_images/
Q00274,52,/tf/facebook/data/query_images/
Q00279,53,/tf/facebook/data/query_images/
Q00283,54,/tf/facebook/data/query_images/
Q00291,55,/tf/facebook/data/query_images/
Q00294,56,/tf/facebook/data/query_images/
Q00299,57,/tf/facebook/data/query_images/
Q00300,58,/tf/facebook/data/query_images/
Q00310,59,/tf/facebook/data/query_images/
Q00313,60,/tf/facebook/data/query_images/
Q00316,61,/tf/facebook/data/query_images/
Q00322,62,/tf/facebook/data/query_images/
Q00323,63,/tf/facebook/data/query_images/
Q00324,64,/tf/facebook/data/query_images/
Q00326,65,/tf/facebook/data/query_images/
Q00329,66,/tf/facebook/data/query_images/
Q00338,67,/tf/facebook/data/query_images/
Q00347,68,/tf/facebook/data/query_images/
Q00353,69,/tf/facebook/data/query_images/
Q00359,70,/tf/facebook/data/query_images/
Q00363,71,/tf/facebook/data/query_images/
Q00364,72,/tf/facebook/data/query_images/
Q00365,73,/tf/facebook/data/query_images/
Q00369,74,/tf/facebook/data/query_images/
Q00375,75,/tf/facebook/data/query_images/
Q00388,76,/tf/facebook/data/query_images/
Q00389,77,/tf/facebook/data/query_images/
Q00392,78,/tf/facebook/data/query_images/
Q00393,79,/tf/facebook/data/query_images/
Q00396,80,/tf/facebook/data/query_images/
Q00403,81,/tf/facebook/data/query_images/
Q00409,82,/tf/facebook/data/query_images/
Q00419,83,/tf/facebook/data/query_images/
Q00423,84,/tf/facebook/data/query_images/
Q00433,85,/tf/facebook/data/query_images/
Q00434,86,/tf/facebook/data/query_images/
Q00439,87,/tf/facebook/data/query_images/
Q00450,88,/tf/facebook/data/query_images/
Q00460,89,/tf/facebook/data/query_images/
Q00470,90,/tf/facebook/data/query_images/
Q00471,91,/tf/facebook/data/query_images/
Q00472,92,/tf/facebook/data/query_images/
Q00477,93,/tf/facebook/data/query_images/
Q00480,94,/tf/facebook/data/query_images/
Q00488,95,/tf/facebook/data/query_images/
Q00489,96,/tf/facebook/data/query_images/
Q00495,97,/tf/facebook/data/query_images/
Q00496,98,/tf/facebook/data/query_images/
Q00497,99,/tf/facebook/data/query_images/
Q00506,100,/tf/facebook/data/query_images/
Q00510,101,/tf/facebook/data/query_images/
Q00511,102,/tf/facebook/data/query_images/
Q00514,103,/tf/facebook/data/query_images/
Q00521,104,/tf/facebook/data/query_images/
Q00523,105,/tf/facebook/data/query_images/
Q00525,106,/tf/facebook/data/query_images/
Q00531,107,/tf/facebook/data/query_images/
Q00537,108,/tf/facebook/data/query_images/
Q00541,109,/tf/facebook/data/query_images/
Q00547,110,/tf/facebook/data/query_images/
Q00549,111,/tf/facebook/data/query_images/
Q00550,112,/tf/facebook/data/query_images/
Q00552,113,/tf/facebook/data/query_images/
Q00565,114,/tf/facebook/data/query_images/
Q00567,115,/tf/facebook/data/query_images/
Q00571,116,/tf/facebook/data/query_images/
Q00574,117,/tf/facebook/data/query_images/
Q00582,118,/tf/facebook/data/query_images/
Q00584,119,/tf/facebook/data/query_images/
Q00586,120,/tf/facebook/data/query_images/
Q00595,121,/tf/facebook/data/query_images/
Q00596,122,/tf/facebook/data/query_images/
Q00597,123,/tf/facebook/data/query_images/
Q00602,124,/tf/facebook/data/query_images/
Q00607,125,/tf/facebook/data/query_images/
